V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228
9,12,17,22,13,3,46,10,694,9,5,1,2,5,2,2,14,6,1,3,2,7,5,1,232,13,13,11,25,14,12,8,13,7,3,3,1,8,21,5,41,9,11,4,0,0,8,38,2,2,16,8,20,2,5,13,3,6,2,2,22,0,1,0,0,10,3,3,0,2,44,0,12,20,43,4,0,5,14,2,12,7,6,11,1,15,2,21,7,2,8,16,0,13,6,4,4,4,182,5,3,82,3,19,7,0,26,532,12,8,21,1,4,211,196,1,2,7,0,3,41,0,9,4,1,2,24,14,82,0,1,4,8,0,65,2,14,1,1,3,0,6,4,1,3,2,16,40,13,7,5,12,8,106,6,19,22,20,3,10,1,56,4,1,46,44,3,1,84,7,12,1,17,16,1,76,3,53,10,46,28,5,4,19,1,11,52,13,0,94,0,5,196,5,12,17,3,6,13,0,42,1,10,2,0,11,7,189,45,3,16,2,46,7,1,0,20,81,2,22,3,3,5,12,173,68,5,5
27,9,15,64,10,3,55,10,492,3,9,2,4,10,2,4,3,10,4,0,1,8,2,2,598,13,9,21,12,10,3,6,7,11,6,10,0,7,18,8,31,5,12,2,2,1,61,59,4,10,19,34,30,4,1,17,2,5,2,11,14,1,3,0,0,8,3,11,0,4,8,221,3,21,11,4,3,59,17,5,29,3,23,327,2,9,0,51,11,2,10,5,0,11,8,2,2,10,184,12,12,59,1,42,18,0,55,275,3,3,1,1,11,454,88,1,9,1,2,0,6,1,8,3,1,2,29,9,3,1,6,1,7,0,39,1,55,1,4,2,0,21,5,5,1,0,23,23,4,11,6,6,8,103,126,10,104,7,1,12,0,5,5,3,32,73,41,1,1,0,14,0,19,31,0,305,5,18,5,23,12,3,34,11,2,11,168,16,13,3,2,4,19,5,10,3,2,3,27,4,29,2,19,2,196,6,21,171,64,14,24,5,48,3,6,1,18,4,1,19,2,4,7,7,68,61,5,21
44,9,13,67,9,2,43,6,218,4,5,2,3,3,5,1,4,5,1,0,4,2,1,3,119,8,8,2,26,9,4,4,13,11,3,12,2,6,18,6,45,3,11,3,5,1,2,41,4,10,14,23,22,7,3,9,4,3,4,9,17,1,17,2,7,5,2,5,1,0,16,6,10,33,31,5,1,37,24,14,23,5,18,147,2,8,1,14,14,8,4,6,2,28,5,5,3,5,80,7,4,4,0,58,8,0,39,18,11,4,15,3,28,6,314,38,5,6,8,0,56,3,16,3,2,2,40,6,4,3,3,1,6,1,3,1,11,2,0,1,0,7,5,5,1,4,9,5,19,14,7,2,20,59,2,16,35,4,3,14,3,1,6,7,3,59,54,1,51,4,12,3,29,62,2,301,2,4,5,49,123,5,5,22,2,7,74,14,6,156,3,1,170,5,8,12,4,9,2,7,41,2,4,0,1,49,16,139,17,9,15,6,48,7,1,4,7,8,4,7,2,2,8,6,10,51,9,10
54,9,8,79,11,2,41,9,451,6,0,1,5,10,4,6,7,11,4,0,4,5,5,6,352,189,33,26,29,7,16,5,9,4,2,12,1,17,43,5,5,11,9,4,3,0,88,28,4,10,4,26,39,14,4,1,0,8,1,1,2,2,14,3,2,4,0,15,2,3,33,72,26,30,31,5,1,29,20,1,43,3,14,377,0,17,0,13,7,7,8,5,1,19,9,7,6,1,68,6,0,67,2,11,5,0,54,13,20,8,10,5,63,443,121,120,6,2,7,5,51,4,40,3,0,6,29,5,26,4,4,2,22,3,4,0,25,1,1,1,0,21,13,7,4,3,4,6,6,4,11,14,24,160,5,17,47,15,6,23,1,31,0,3,2,18,26,0,108,5,24,6,54,49,5,224,4,29,7,40,51,3,6,24,5,7,121,20,4,23,3,8,5,5,10,11,1,4,8,4,4,4,7,0,4,13,34,44,53,16,54,11,48,4,3,1,16,74,6,22,1,8,1,8,151,10,10,16
28,7,22,79,6,6,33,10,38,8,4,0,1,2,3,1,8,1,1,0,3,4,1,4,77,16,7,23,18,12,3,11,6,10,2,1,3,10,11,9,53,4,4,0,1,1,108,39,2,5,40,36,50,3,2,25,0,3,2,6,22,0,10,0,2,5,1,8,0,1,39,35,6,17,24,3,5,51,21,13,41,2,37,231,3,10,3,44,12,4,1,0,5,12,8,3,3,3,114,6,8,37,0,93,1,0,27,266,8,3,6,2,73,248,293,69,16,3,1,3,8,7,16,1,1,6,56,8,41,3,2,1,4,3,64,0,15,1,3,2,0,31,11,8,4,2,13,39,12,10,4,6,24,168,3,4,42,10,8,21,1,3,2,5,27,86,7,2,42,1,4,1,51,66,0,211,3,29,12,38,50,1,23,12,3,3,96,18,8,110,2,5,74,5,8,9,4,6,20,8,43,5,4,0,35,10,21,188,43,6,16,9,24,1,2,1,18,5,20,9,1,6,9,4,86,55,10,7
33,9,19,16,5,1,93,4,82,6,5,2,5,14,2,5,2,7,4,2,5,4,0,1,432,16,8,57,32,7,4,9,18,6,4,4,2,11,42,3,28,9,3,0,4,1,3,50,5,4,6,43,26,8,3,11,1,2,2,6,16,2,2,1,2,1,0,16,2,2,11,132,36,3,41,1,2,49,15,17,45,8,14,11,6,12,4,30,5,6,7,7,2,30,10,5,7,3,12,7,10,41,1,37,14,0,23,23,9,7,6,2,47,402,136,91,16,4,2,0,43,3,11,1,0,4,5,7,60,2,5,2,14,1,36,1,14,0,2,1,0,9,13,5,3,1,23,26,25,9,4,10,25,24,39,31,75,7,7,13,1,4,0,3,33,12,62,1,14,2,12,4,135,25,1,683,7,7,5,22,106,4,25,9,5,6,80,12,16,43,1,7,126,3,6,19,2,12,9,4,42,4,11,1,124,16,11,127,7,1,14,0,36,5,1,0,12,68,9,17,0,2,8,1,82,0,13,16
55,9,18,73,11,3,93,9,684,3,5,5,3,10,2,2,4,10,1,0,5,6,1,2,142,386,8,75,22,16,15,5,6,12,1,3,1,5,5,5,24,7,6,3,4,4,7,41,8,12,23,18,33,12,2,6,1,10,1,3,10,2,5,8,1,7,0,6,5,1,44,1,9,34,46,5,3,2,16,7,9,8,4,237,2,10,4,42,9,2,6,6,1,3,4,10,3,4,12,18,7,45,4,23,29,0,46,372,10,4,5,4,109,4,143,5,27,7,7,2,54,5,16,1,0,5,44,12,66,1,6,2,7,2,69,1,11,0,5,4,0,7,34,3,3,2,21,27,11,11,5,20,24,104,124,7,74,15,6,15,2,50,5,7,43,13,12,0,154,2,12,1,11,10,4,56,0,62,11,64,77,8,51,14,1,15,78,17,4,62,0,5,31,9,8,23,3,6,5,6,69,0,8,0,30,19,12,238,52,17,14,9,21,3,2,3,13,5,1,11,3,1,6,19,72,76,9,13
4,6,13,25,8,2,25,9,54,0,1,4,3,7,6,3,8,2,2,0,2,1,0,1,176,13,7,7,24,2,8,5,3,2,1,11,0,1,12,6,5,6,9,3,4,2,4,24,1,8,2,11,8,0,1,1,0,2,1,8,19,0,10,5,0,7,0,13,0,1,31,3,10,28,18,1,1,37,32,5,9,2,5,77,1,3,2,3,19,9,2,5,0,9,5,5,2,0,9,8,0,8,0,15,3,0,32,11,5,2,5,5,6,100,88,1,12,0,5,2,21,6,5,1,0,5,12,4,2,0,3,2,9,3,2,1,8,2,1,4,0,3,5,7,0,3,6,10,22,9,5,9,10,28,1,14,47,4,2,3,1,33,3,1,59,23,3,3,44,0,12,0,20,20,1,132,3,22,2,31,10,6,10,11,5,10,43,15,2,5,0,4,15,8,3,9,4,1,1,8,5,3,1,0,23,8,12,47,20,5,16,2,45,1,0,3,18,19,2,22,2,2,5,3,10,5,9,10
78,12,26,83,6,5,60,7,38,1,1,0,1,6,1,1,8,1,1,2,2,10,0,0,336,370,7,34,16,2,4,4,4,5,2,9,2,6,4,4,14,4,12,5,6,1,35,35,7,2,22,30,37,50,1,9,0,10,1,8,3,3,20,1,1,3,0,4,2,0,2,4,3,56,44,6,5,0,29,6,41,2,30,12,6,9,5,7,24,5,10,6,2,25,7,8,4,2,59,7,3,38,4,19,19,0,21,8,4,6,4,6,22,306,438,19,4,4,3,0,7,2,10,0,2,7,53,9,72,1,2,0,9,0,64,3,8,0,2,1,0,10,7,7,4,0,25,6,9,4,12,5,15,31,78,7,18,10,4,8,0,40,7,3,46,67,63,1,7,1,21,2,21,21,4,314,4,58,8,35,107,2,7,22,1,9,233,17,18,90,2,1,24,10,10,20,3,14,0,2,31,1,5,2,190,27,32,201,109,21,43,2,21,7,0,0,13,6,2,32,2,3,5,2,10,108,3,14
26,14,24,27,12,6,45,7,235,10,6,2,1,1,1,0,6,11,4,0,5,2,0,0,167,11,3,2,16,8,0,11,8,2,2,17,2,2,1,7,20,1,9,3,0,1,52,43,2,11,17,8,25,28,2,9,2,6,0,3,3,1,19,4,0,10,0,6,1,1,6,0,23,49,14,2,1,28,17,23,30,4,21,9,1,7,0,16,4,1,6,4,6,4,4,8,4,5,87,8,1,6,1,24,16,0,43,10,3,5,4,7,56,11,95,4,19,1,1,2,10,2,13,0,1,5,30,14,25,1,6,4,10,2,30,0,9,0,2,6,1,6,14,9,1,2,14,17,7,1,10,8,7,54,72,5,75,7,1,7,2,6,2,11,12,32,3,0,8,1,12,1,88,55,2,233,0,36,8,17,56,11,20,9,4,11,64,23,12,5,1,7,95,15,10,14,2,6,8,15,2,5,11,0,4,11,20,36,42,15,43,9,33,5,0,4,14,59,3,20,1,3,6,5,98,62,8,7
